"Sample"	"Study"	"Site"	"Region"	"F"	"O"	"C"	"P"
"BR3_2011"	"Sharp"	"Western Canada"	"Canada"	0.0024951483	0.0022179096	0.0016634322	0.0011089548
"C_Filter"	"Huo"	"Experimental Site "	"China"	0.0113285273	0.0025746653	0.0015447992	0.0005149331
"C_Sediment"	"Huo"	"Experimental Site "	"China"	0.3048016701	0.3011482255	0.2969728601	0.2870563674
"CHA015"	"Sharp"	"Western Canada"	"Canada"	0.5	0.5	0.5	0
"CWA015"	"Sharp"	"Western Canada"	"Canada"	0.4786044719	0.4527756361	0.4440053971	0.4162490362
"D_Filter"	"Huo"	"Experimental Site "	"China"	0.0108695652	0.001552795	0.0062111801	0
"D_Sediment"	"Huo"	"Experimental Site "	"China"	0.0029793925	0.0028966316	0.0018207399	0.0006620872
"DC1_2010"	"Sharp"	"Western Canada"	"Canada"	0.5307278391	0.4541206457	0.3249787596	0.08028887
"DC1_2012"	"Sharp"	"Western Canada"	"Canada"	0.5848289064	0.525245274	0.4087102178	0.1598468533
"DC14_2010"	"Sharp"	"Western Canada"	"Canada"	0.2636241094	0.2075871365	0.303870595	0.0548815713
"DC15_2011"	"Sharp"	"Western Canada"	"Canada"	0.7770375768	0.6665972728	0.298636411	0.103258041
"DC16B_2010"	"Sharp"	"Western Canada"	"Canada"	0.6965789002	0.5563317213	0.3415726312	0.1554719685
"DC2_2010"	"Sharp"	"Western Canada"	"Canada"	0.6038155803	0.6020667727	0.1583465819	0.0979332273
"DC4_2010"	"Sharp"	"Western Canada"	"Canada"	0.0365880538	0.0275512453	0.0204981265	0.0185144369
"DC5_2010"	"Sharp"	"Western Canada"	"Canada"	0.4408313778	0.4378142809	0.2953402615	0.2577941669
"DC6_2010"	"Sharp"	"Western Canada"	"Canada"	0.5506914952	0.5205270609	0.1927474681	0.0497658717
"DC6_2012"	"Sharp"	"Western Canada"	"Canada"	0.7144255875	0.330613577	0.188805483	0.1347911227
"DC7_2010"	"Sharp"	"Western Canada"	"Canada"	0.7100104864	0.7167863193	0.5331935146	0.0752601436
"DC7_2012"	"Sharp"	"Western Canada"	"Canada"	0.5382596406	0.3529174238	0.2638804765	0.1429436705
"DC8_2010"	"Sharp"	"Western Canada"	"Canada"	0.511453561	0.4627238651	0.4339858392	0.0289462724
"DC8_2012"	"Sharp"	"Western Canada"	"Canada"	0.6366666667	0.6252380952	0.3485714286	0.0638095238
